EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 11:23:29 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Timestep,"catch (predicted)SDF landings","catch (observed) SDF landings","catch (predicted)SB 2-5 C","catch (observed) SB 2-5 C","catch (predicted)SB adult C","catch (observed) SB adult C","catch (predicted)AM adult C 1","catch (observed) AM adult C 1","catch (predicted)AM adult C 2","catch (observed) AM adult C 2","catch (predicted)AM adult C 3","catch (observed) AM adult C 3","catch (predicted)AM adult C 4","catch (observed) AM adult C 4","catch (predicted)AM adult C 5","catch (observed) AM adult C 5","catch (predicted)AM adult C 6","catch (observed) AM adult C 6","catch (predicted)BF adult C","catch (observed) BF adult C","catch (predicted)WF juv C","catch (observed) WF juv C","catch (predicted)WF adult C","catch (observed) WF adult C","catch (predicted)AH adult landings","catch (observed) AH adult landings","catch (predicted)AM juv C","catch (observed) AM juv C","catch (predicted)BF juv C","catch (observed) BF juv C","catch (predicted)AH juv landings","catch (observed) AH juv landings",
25,0.003433376,,0.002606106,,0.001452505,,0.02552911,,0.3007762,,0.09908182,,0.02108662,,0.006049603,,0.00206697,,0.0738344,,2.85668E-05,,0.003343489,,0.0489708,,3.473847E-14,,0.005934808,,0.00461861,,
26,0.003433447,,0.002621736,,0.001468682,,0.02227397,,0.3041173,,0.0991203,,0.02118144,,0.005998463,,0.002070663,,0.07080747,,2.871253E-05,,0.00336986,,0.04964935,,1.384924E-14,,0.005325824,,0.00450806,,
27,0.003433514,,0.002637485,,0.001484454,,0.01959921,,0.3020717,,0.09931654,,0.02128548,,0.00595974,,0.002072544,,0.06794117,,2.888653E-05,,0.00339649,,0.05028361,,5.007193E-15,,0.004826174,,0.004428488,,
28,0.003433575,,0.002653266,,0.001499806,,0.01737437,,0.2958854,,0.09981245,,0.02139854,,0.005931692,,0.002072789,,0.06522459,,2.908475E-05,,0.003423524,,0.05087844,,1.604126E-15,,0.004405154,,0.004367162,,
29,0.003433631,,0.002669014,,0.001514731,,0.01552667,,0.2864704,,0.1007163,,0.02151978,,0.005912889,,0.002071533,,0.06264649,,2.93034E-05,,0.003451083,,0.05143713,,4.403819E-16,,0.004043702,,0.004318047,,
30,0.003433682,0.00343,0.002684683,0.000327,0.001529234,0.000538,0.01401615,0.03206667,0.2744987,0.1826588,0.1021132,0.1134515,0.02164776,0.0187305,0.005902146,0.002501237,0.002068873,0.001608549,0.06019589,0.115,2.954063E-05,1.93E-05,0.00347925,0.00339,0.0519621,0.0717,9.848297E-17,4.451781E-16,0.003731023,0.002943404,0.004279481,0.001707203,
31,0.003433728,,0.002700247,,0.001543325,,0.01281855,,0.2604677,,0.1040734,,0.0217805,,0.005898481,,0.002064887,,0.05786238,,2.979619E-05,,0.003508067,,0.05245531,,1.652457E-17,,0.003461819,,0.004252535,,
32,0.003433773,,0.002715692,,0.001557022,,0.01191498,,0.2447426,,0.1066566,,0.02191568,,0.005901068,,0.002059637,,0.05563632,,3.007076E-05,,0.003537552,,0.05291853,,1.794968E-18,,0.003234117,,0.004239745,,
33,0.003433818,,0.002731014,,0.001570348,,0.01128637,,0.2275816,,0.1099167,,0.02205077,,0.005909208,,0.002053175,,0.05350897,,3.036549E-05,,0.003567696,,0.05335351,,9.11416E-20,,0.003047637,,0.004244162,,
34,0.003433865,,0.002746215,,0.001583328,,0.01091147,,0.2091519,,0.1139051,,0.02218324,,0.005922308,,0.002045549,,0.05147257,,3.068173E-05,,0.003598477,,0.05376191,,3.063653E-23,,0.002902569,,0.004268656,,
35,0.003433913,,0.002761302,,0.00159599,,0.01076632,,0.1895399,,0.1186746,,0.02231069,,0.00593985,,0.002036805,,0.04952031,,3.102085E-05,,0.003629858,,0.05414538,,3.063653E-23,,0.00279891,,0.004315455,,
36,0.003433966,,0.002776285,,0.001608365,,0.0108247,,0.1687581,,0.1242847,,0.02243095,,0.005961386,,0.002026985,,0.04764628,,3.13843E-05,,0.003661792,,0.05450542,,3.063653E-23,,0.00273603,,0.004385858,,
37,0.00411395,,0.001447631,,0.00417163,,0.01492056,,0.1924857,,0.1634678,,0.02738492,,0.006830462,,0.002282188,,0.04429782,,3.711756E-05,,0.007341663,,0.06450675,,0.0002555581,,0.0008392017,,0.0005340303,,
38,0.004114008,,0.001459475,,0.004168459,,0.01566696,,0.1692779,,0.164981,,0.02730172,,0.00684386,,0.002272155,,0.04278909,,3.751812E-05,,0.007259591,,0.06473381,,0.0003947288,,0.0009467766,,0.0005539273,,
39,0.004114099,,0.001471667,,0.004167174,,0.01646765,,0.1508527,,0.1630268,,0.02725126,,0.006859768,,0.002263343,,0.04138033,,3.792105E-05,,0.007195121,,0.06499632,,0.0004793628,,0.00105755,,0.0005708379,,
40,0.004114203,,0.001484008,,0.004167377,,0.01731655,,0.136262,,0.1584608,,0.02727099,,0.006878201,,0.002255572,,0.04007388,,3.831095E-05,,0.007145478,,0.06528822,,0.0005388433,,0.001170145,,0.0005854057,,
41,0.004114315,,0.001496446,,0.004168932,,0.01822965,,0.1248271,,0.1519381,,0.0273899,,0.00689895,,0.002248678,,0.03887091,,3.867542E-05,,0.007108489,,0.06560389,,0.0005885394,,0.001282563,,0.0005977799,,
42,0.004114432,0.00411,0.001509013,0.000479,0.004171862,0.00103,0.01923529,0.03513732,0.1160341,0.1496791,0.1439629,0.1119206,0.02763103,0.04151691,0.006921612,0.007461612,0.002242514,0.001414162,0.03777288,0.0855,3.900258E-05,2.61E-05,0.00708246,0.00469,0.06593804,0.0827,0.0006366458,1.13587E-15,0.001391888,0.001900598,0.0006078557,0.00133983,
43,0.004114549,,0.001521776,,0.004176259,,0.02036595,,0.1094637,,0.1349253,,0.02801331,,0.006945634,,0.002236956,,0.03678183,,3.927976E-05,,0.007066039,,0.06628583,,0.0006871805,,0.001494033,,0.0006154188,,
44,0.00411466,,0.00153481,,0.004182246,,0.02165432,,0.1047514,,0.1251246,,0.02855258,,0.006970359,,0.002231899,,0.03590055,,3.949327E-05,,0.007058133,,0.06664297,,0.0007413092,,0.001583563,,0.0006202495,,
45,0.004114762,,0.00154819,,0.004189949,,0.0231308,,0.1015825,,0.1147865,,0.02926233,,0.006995075,,0.002227258,,0.03513276,,3.962848E-05,,0.007057847,,0.06700587,,0.0007979734,,0.001653454,,0.0006221822,,
46,0.00411485,,0.001561971,,0.00419947,,0.02482875,,0.09966212,,0.1040758,,0.03015423,,0.00701906,,0.002222961,,0.03448314,,3.967005E-05,,0.007064427,,0.06737164,,0.0008542814,,0.001694906,,0.000621124,,
47,0.00411492,,0.001576176,,0.004210862,,0.0267898,,0.09871879,,0.09310599,,0.03123873,,0.007041621,,0.002218953,,0.03395729,,3.960198E-05,,0.007077199,,0.06773823,,0.0009056784,,0.001697149,,0.000617044,,
48,0.004114968,,0.001590773,,0.004224094,,0.02907479,,0.09850886,,0.08194902,,0.03252594,,0.007062126,,0.002215187,,0.0335615,,3.940765E-05,,0.007095505,,0.06810431,,0.0009458945,,0.00164724,,0.0006099366,,
49,0.00533461,,0.0008759479,,0.001094533,,0.02946352,,0.1035825,,0.08493493,,0.04448794,,0.01035201,,0.003217047,,0.01781097,,4.613401E-05,,0.005443921,,0.0594216,,0.0005751346,,0.002026689,,0.0002328822,,
50,0.005334663,,0.0008831216,,0.001108447,,0.03088685,,0.1040834,,0.07424054,,0.04484372,,0.01026673,,0.003204132,,0.0181494,,4.597724E-05,,0.005503099,,0.05987536,,0.0003187622,,0.001936986,,0.0002323977,,
51,0.005334681,,0.0008891222,,0.001121461,,0.03196751,,0.1051969,,0.0659162,,0.04432578,,0.01019621,,0.003191983,,0.01849088,,4.581743E-05,,0.005553526,,0.06028067,,0.0001683122,,0.00185174,,0.0002321783,,
52,0.00533472,,0.0008947005,,0.00113411,,0.03277589,,0.1071879,,0.05947704,,0.04311991,,0.01015338,,0.003180548,,0.01883638,,4.568389E-05,,0.005597818,,0.06064212,,8.370571E-05,,0.001770689,,0.0002321676,,
53,0.005334754,,0.0009001163,,0.001146591,,0.03335243,,0.1102492,,0.0545568,,0.04137758,,0.01014776,,0.003169768,,0.01918329,,4.558241E-05,,0.005637016,,0.06096429,,3.860262E-05,,0.001693733,,0.0002323354,,
54,0.005334779,0.00533,0.0009054191,0.000574,0.001158947,0.00197,0.03370728,0.0847539,0.1145518,0.1286274,0.05086597,0.07458661,0.03922202,0.03909473,0.0101865,0.01742983,0.003159565,0.002986915,0.01952829,0.0403,4.551284E-05,8.06E-05,0.005671588,0.00273,0.0612518,0.0979,1.612536E-05,9.953649E-16,0.001621158,0.004204863,0.0002326568,0.0006236074,
55,0.005334796,,0.000910593,,0.001171175,,0.03383074,,0.1202263,,0.04816521,,0.03675276,,0.01027502,,0.003149836,,0.01986823,,4.547532E-05,,0.005701863,,0.06150916,,5.870204E-06,,0.001553701,,0.0002331019,,
56,0.005334809,,0.0009156127,,0.001183268,,0.03370068,,0.1273672,,0.04625038,,0.03404896,,0.01041743,,0.003140466,,0.02020038,,4.547161E-05,,0.005728158,,0.06174069,,1.734474E-06,,0.001492527,,0.0002336324,,
57,0.005334821,,0.0009204587,,0.00119522,,0.03328608,,0.1360495,,0.04495309,,0.03117189,,0.01061689,,0.003131323,,0.02052235,,4.550465E-05,,0.00575079,,0.06195043,,3.57653E-07,,0.001439208,,0.0002342026,,
58,0.005334832,,0.000925118,,0.001207033,,0.03254669,,0.1463753,,0.04412359,,0.02816727,,0.01087577,,0.003122272,,0.02083207,,4.557809E-05,,0.005770066,,0.06214199,,3.324041E-08,,0.001395672,,0.0002347655,,
59,0.005334845,,0.0009295827,,0.001218711,,0.03142536,,0.1585458,,0.04363202,,0.02506747,,0.01119592,,0.003113182,,0.02112767,,4.569595E-05,,0.005786258,,0.06231846,,2.294866E-13,,0.001364166,,0.0002352808,,
60,0.005334859,,0.0009338475,,0.001230261,,0.02983109,,0.172988,,0.04336858,,0.02189355,,0.01157905,,0.003103928,,0.02140752,,4.586319E-05,,0.005799586,,0.06248234,,9.852374E-14,,0.001347212,,0.0002357249,,
61,0.01656069,,0.0004677926,,0.0007332473,,0.02095142,,0.1548955,,0.04000492,,0.01856533,,0.0124434,,0.003158495,,0.02524315,,0.0001283733,,0.002775047,,0.04821893,,0.000195409,,0.0007943536,,0.0001018055,,
62,0.01656114,,0.0004701565,,0.0007413792,,0.01991434,,0.1675119,,0.04015399,,0.01612181,,0.01253484,,0.003143683,,0.0254106,,0.0001281265,,0.002825093,,0.04855306,,0.0003005263,,0.0008094321,,0.0001019586,,
63,0.01656165,,0.0004725438,,0.0007496838,,0.01904888,,0.1777985,,0.04063601,,0.01419138,,0.01237743,,0.0031308,,0.02557595,,0.000127935,,0.002871307,,0.04886492,,0.000361394,,0.0008248356,,0.000102077,,
64,0.01656216,,0.0004748555,,0.0007580522,,0.01835826,,0.1855076,,0.04156826,,0.01268025,,0.01202545,,0.003121655,,0.02573998,,0.0001277639,,0.002913838,,0.04915664,,0.0004001604,,0.0008408608,,0.0001021703,,
65,0.01656264,,0.000477049,,0.0007664338,,0.01786637,,0.1905102,,0.04302752,,0.01151456,,0.01152308,,0.003117591,,0.0259027,,0.0001276141,,0.002952864,,0.04942962,,0.0004282124,,0.0008577149,,0.000102247,,
66,0.0165631,0.0166,0.000479115,0.0011,0.0007748117,0.00339,0.01760035,0.04758841,0.192815,0.2806679,0.0450797,0.0590819,0.01063399,0.0200084,0.01090609,0.01219478,0.003119614,0.004182115,0.02606411,0.0452,0.0001275137,6.59E-05,0.002988578,0.0014,0.04968485,0.0934,0.0004514876,1.124038E-15,0.0008754795,0.002270626,0.0001023144,0.0002432686,
67,0.01656353,,0.0004810586,,0.0007831849,,0.01758361,,0.1925564,,0.04777298,,0.009987577,,0.01020317,,0.003128496,,0.0262244,,0.0001275071,,0.003021161,,0.04992308,,0.0004727799,,0.0008940479,,0.0001023811,,
68,0.01656393,,0.0004828898,,0.0007915598,,0.01783265,,0.1899595,,0.05114118,,0.009531197,,0.009437033,,0.003144831,,0.02638403,,0.0001276471,,0.00305077,,0.05014494,,0.0004929194,,0.0009130558,,0.0001024557,,
69,0.0165643,,0.0004846185,,0.0007999453,,0.01836121,,0.1852612,,0.05521446,,0.00922775,,0.008625165,,0.003169084,,0.02654377,,0.0001279883,,0.003077535,,0.05035102,,0.0005114196,,0.0009318087,,0.0001025459,,
70,0.01656465,,0.0004862511,,0.0008083493,,0.01917864,,0.1786807,,0.0600399,,0.009044082,,0.007780596,,0.003201621,,0.02670473,,0.0001285809,,0.003101558,,0.05054192,,0.0005269994,,0.0009492047,,0.0001026574,,
71,0.01656498,,0.0004877886,,0.0008167762,,0.02028908,,0.1703721,,0.06571853,,0.008951135,,0.006912539,,0.003242745,,0.0268684,,0.0001294659,,0.003122911,,0.05071827,,0.0005380345,,0.0009636526,,0.0001027939,,
72,0.01656529,,0.0004892242,,0.0008252249,,0.02169269,,0.1603678,,0.0724692,,0.00892395,,0.006027,,0.003292745,,0.02703666,,0.0001306707,,0.003141637,,0.05088069,,0.0005427803,,0.0009729819,,0.0001029567,,
73,0.01378293,,0.0006776276,,0.001027398,,0.02506205,,0.1392539,,0.06655552,,0.006880195,,0.003702505,,0.002407437,,0.02891589,,5.048269E-05,,0.005310497,,0.04668882,,0.0006611267,,0.001826839,,4.40465E-05,,
74,0.01378318,,0.0006795454,,0.001037343,,0.02714047,,0.1301565,,0.07252277,,0.00695534,,0.003231389,,0.00242303,,0.02899827,,5.089726E-05,,0.005286954,,0.04687789,,0.000697309,,0.001780336,,4.40826E-05,,
75,0.01378341,,0.0006813205,,0.001047176,,0.02918724,,0.1227083,,0.07729118,,0.007080222,,0.002858992,,0.002415451,,0.02906928,,5.121377E-05,,0.005266863,,0.04705354,,0.0007136253,,0.001740192,,4.411254E-05,,
76,0.01378363,,0.0006829561,,0.001056889,,0.03111032,,0.1170569,,0.08074983,,0.007276953,,0.002568151,,0.002389407,,0.02913001,,5.145309E-05,,0.005249619,,0.04721704,,0.0007225625,,0.001705287,,4.414014E-05,,
77,0.01378384,,0.0006845001,,0.001066509,,0.03286178,,0.1133072,,0.08285165,,0.007561931,,0.00234514,,0.002348862,,0.02918191,,5.162813E-05,,0.005234902,,0.04736947,,0.0007317508,,0.001674869,,4.416667E-05,,
78,0.01378405,0.0138,0.00068601,0.00164,0.001076075,0.00502,0.03442962,0.06835943,0.1114978,0.1796649,0.08362754,0.1313839,0.007950266,0.0146213,0.00217863,0.004585242,0.002297159,0.002765114,0.0292263,0.0404,5.174517E-05,6.67E-05,0.005222523,0.00286,0.04751177,0.104,0.0007451754,1.789586E-15,0.001648567,0.002203348,4.419254E-05,9.076266E-05,
79,0.01378425,,0.0006875394,,0.001085633,,0.03582632,,0.1116059,,0.08317699,,0.008454644,,0.002058961,,0.002237115,,0.02926421,,5.180581E-05,,0.005212353,,0.04764478,,0.0007641531,,0.00162642,,4.421807E-05,,
80,0.01378446,,0.0006891338,,0.00109523,,0.03707285,,0.1135547,,0.08164678,,0.009085735,,0.001977713,,0.002171087,,0.02929636,,5.180864E-05,,0.005204293,,0.04776926,,0.0007885009,,0.001608873,,4.424375E-05,,
81,0.01378465,,0.0006908302,,0.001104914,,0.03819758,,0.1172494,,0.07918872,,0.009853677,,0.00192777,,0.002101021,,0.02932324,,5.175048E-05,,0.00519827,,0.04788593,,0.0008165907,,0.001596772,,4.427027E-05,,
82,0.01378484,,0.0006926543,,0.00111473,,0.03923265,,0.1225764,,0.07594543,,0.01077158,,0.001902704,,0.002028498,,0.02934511,,5.162693E-05,,0.00519422,,0.04799544,,0.000845801,,0.001591322,,4.429834E-05,,
83,0.01378503,,0.0006946193,,0.001124717,,0.04021312,,0.1293942,,0.07203088,,0.01186171,,0.00189681,,0.001954773,,0.02936197,,5.143239E-05,,0.005192081,,0.04809841,,0.0008729231,,0.001594039,,4.432855E-05,,
84,0.01378522,,0.000696721,,0.001134902,,0.04117311,,0.1375487,,0.06751017,,0.01316667,,0.00190511,,0.001880826,,0.02937343,,5.115958E-05,,0.005191778,,0.04819539,,0.0008945392,,0.001606686,,4.436109E-05,,
85,0.01795816,,0.0007280498,,0.001469667,,0.02410539,,0.09552065,,0.04719507,,0.01194172,,0.001574067,,0.001415056,,0.02828848,,2.635256E-05,,0.004903884,,0.04963268,,0.0003311535,,0.001200897,,9.801603E-06,,
86,0.0179585,,0.0007295108,,0.001481194,,0.02380377,,0.102375,,0.04433881,,0.01313078,,0.001597418,,0.001366004,,0.02833951,,2.628996E-05,,0.004906483,,0.04971228,,0.0001755886,,0.001234307,,9.812086E-06,,
87,0.01795847,,0.0007296249,,0.00149087,,0.02327668,,0.1087813,,0.04212619,,0.01414705,,0.001632852,,0.001321164,,0.02838511,,2.62054E-05,,0.004903734,,0.0497851,,8.884068E-05,,0.001265595,,9.818295E-06,,
88,0.01795862,,0.0007293677,,0.001499735,,0.02265074,,0.1145918,,0.04060746,,0.01495645,,0.001685571,,0.001279866,,0.02843514,,2.613528E-05,,0.004899122,,0.04985215,,4.242063E-05,,0.001295166,,9.821808E-06,,
89,0.01795883,,0.0007290905,,0.001508241,,0.02198864,,0.1197997,,0.03981103,,0.01553667,,0.001759506,,0.001241572,,0.02849001,,2.608642E-05,,0.004893823,,0.04991432,,1.880964E-05,,0.001323072,,9.823699E-06,,
90,0.01795902,0.018,0.0007288764,0.00225,0.001516536,0.00757,0.02130652,0.05795778,0.124509,0.1697517,0.03973982,0.06731799,0.01588005,0.03116549,0.001858324,0.003982298,0.001205841,0.001562154,0.02854837,0.0355,2.605517E-05,2.64E-05,0.004888177,0.00255,0.04997231,0.125,7.555455E-06,4.58489E-16,0.001349217,0.0003447988,9.824734E-06,1.105205E-05,
91,0.0179592,,0.0007287235,,0.001524646,,0.02058989,,0.1288954,,0.04037599,,0.01599278,,0.001985142,,0.001172313,,0.02860931,,2.603539E-05,,0.004882301,,0.05002669,,2.642831E-06,,0.001373374,,9.825476E-06,,
92,0.01795937,,0.0007286133,,0.001532568,,0.01981151,,0.1331339,,0.04168459,,0.01589157,,0.002142607,,0.001140677,,0.02867264,,2.602109E-05,,0.004876279,,0.05007791,,7.495383E-07,,0.001395164,,9.82633E-06,,
93,0.01795955,,0.0007285294,,0.001540293,,0.01893358,,0.1374206,,0.0436271,,0.01559619,,0.002333255,,0.001110701,,0.02873871,,2.600718E-05,,0.004870188,,0.05012628,,1.480946E-07,,0.001414021,,9.827587E-06,,
94,0.01795972,,0.0007284582,,0.001547813,,0.01791327,,0.1419591,,0.04616057,,0.01512634,,0.002560355,,0.001082159,,0.02880821,,2.598979E-05,,0.004864094,,0.05017206,,1.313605E-08,,0.00142916,,9.82945E-06,,
95,0.01795989,,0.0007283883,,0.001555121,,0.01670614,,0.1469536,,0.04923239,,0.0144973,,0.002829423,,0.001054846,,0.02888209,,2.596635E-05,,0.004858037,,0.05021545,,9.433309E-14,,0.001439561,,9.832039E-06,,
96,0.01796007,,0.0007283096,,0.001562212,,0.01526774,,0.1525965,,0.05278636,,0.01371482,,0.003150956,,0.001028573,,0.02896149,,2.59359E-05,,0.004852021,,0.05025661,,4.038415E-14,,0.001443964,,9.835296E-06,,
97,0.02212204,,0.001419717,,0.002213331,,0.01471851,,0.1409676,,0.04000651,,0.00784418,,0.001900681,,0.0005490992,,0.02829688,,1.053167E-05,,0.002157255,,0.04537497,,1.904266E-14,,0.0009180729,,2.993459E-05,,
98,0.02212237,,0.001417876,,0.002220158,,0.01310602,,0.1443601,,0.04291025,,0.007400971,,0.002099891,,0.0005379509,,0.02842186,,1.051973E-05,,0.002182522,,0.04547288,,7.495129E-15,,0.0009409265,,2.99485E-05,,
99,0.02212269,,0.001415976,,0.002226916,,0.01168545,,0.1456877,,0.04556962,,0.007046579,,0.002272719,,0.0005285689,,0.02855571,,1.050478E-05,,0.00220525,,0.04556316,,2.683967E-15,,0.0009626687,,2.996312E-05,,
100,0.02212299,,0.001414,,0.00223354,,0.01044301,,0.1452287,,0.04794357,,0.006794876,,0.002413533,,0.0005212756,,0.02869816,,1.048838E-05,,0.002225648,,0.04564652,,8.553988E-16,,0.0009830435,,2.997738E-05,,
101,0.02212328,,0.001411935,,0.002239969,,0.009370768,,0.1432093,,0.05005379,,0.00665586,,0.002518471,,0.0005163197,,0.02884879,,1.047203E-05,,0.002243899,,0.04572342,,2.342989E-16,,0.001001777,,2.999105E-05,,
