EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/9/2022 12:28:06 PM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Timestep,"biomass (predicted) SB juv comp YOY","biomass (observed) SB juv comp YOY","biomass (predicted) SB 2-5 MRIP CPUE","biomass (observed) SB 2-5 MRIP CPUE","biomass (predicted) SB 2-5 CT LISTS","biomass (observed) SB 2-5 CT LISTS","biomass (predicted) SB adult MRIP CPUE","biomass (observed) SB adult MRIP CPUE","biomass (predicted) SB adult CT LISTS","biomass (observed) SB adult CT LISTS","biomass (predicted) AM juv jai","biomass (observed) AM juv jai","biomass (predicted) AM adult nad 1","biomass (observed) AM adult nad 1","biomass (predicted) AM adult nad 2","biomass (observed) AM adult nad 2","biomass (predicted) AM adult nad 3","biomass (observed) AM adult nad 3","biomass (predicted) AM adult nad 4","biomass (observed) AM adult nad 4","biomass (predicted) AM adult nad 5","biomass (observed) AM adult nad 5","biomass (predicted) AM adult nad 6+","biomass (observed) AM adult nad 6+","biomass (predicted) AM adult mad 1","biomass (observed) AM adult mad 1","biomass (predicted) AM adult mad 2","biomass (observed) AM adult mad 2","biomass (predicted) AM adult mad 3","biomass (observed) AM adult mad 3","biomass (predicted) AM adult mad 4","biomass (observed) AM adult mad 4","biomass (predicted) AM adult mad 5","biomass (observed) AM adult mad 5","biomass (predicted) SDF biomass","biomass (observed) SDF biomass","biomass (predicted) BF juv comp YOY","biomass (observed) BF juv comp YOY","biomass (predicted) BF adult MRIP CPUE","biomass (observed) BF adult MRIP CPUE","biomass (predicted) BF adult NC PSIGNS","biomass (observed) BF adult NC PSIGNS","biomass (predicted) WF juv comp yoy","biomass (observed) WF juv comp yoy","biomass (predicted) WF adult MRIP","biomass (observed) WF adult MRIP","biomass (predicted) WF adult DE trawl","biomass (observed) WF adult DE trawl","biomass (predicted) AH adult NEFSC-A","biomass (observed) AH adult NEFSC-A","biomass (predicted) AH adult NEFSC-B","biomass (observed) AH adult NEFSC-B",
11,0.009075427,,0.03640157,,0.03640157,,0.01948388,,0.01948388,,6.123162E-11,,0.5505543,,0.7220733,,0.2441237,,0.0839534,,0.0352741,,0.02981018,,0.5505543,,0.7220733,,0.2441237,,0.0839534,,0.0352741,,0.2717017,,0.002837245,,0.1792399,,0.1792399,,0.001216444,,0.01257217,,0.01257217,,0.1623743,,0.1623743,,
12,0.009137685,,0.03644419,,0.03644419,,0.0195389,,0.0195389,,2.596469E-11,,0.5017015,,0.7300882,,0.2406079,,0.08150727,,0.03501395,,0.02964558,,0.5017015,,0.7300882,,0.2406079,,0.08150727,,0.03501395,,0.2717389,,0.002873718,,0.1761179,,0.1761179,,0.001217804,,0.01257607,,0.01257607,,0.163092,,0.163092,,
13,0.009199158,,0.03646814,,0.03646814,,0.01964233,,0.01964233,,1.096888E-11,,0.4512072,,0.7501587,,0.2446274,,0.08144934,,0.0354657,,0.02975173,,0.4512072,,0.7501587,,0.2446274,,0.08144934,,0.0354657,,0.2719328,,0.002902775,,0.1665892,,0.1665892,,0.001219097,,0.01247244,,0.01247244,,0.1646855,,0.1646855,,
14,0.009259931,,0.03650407,,0.03650407,,0.01974404,,0.01974404,,4.299826E-12,,0.4091943,,0.7563156,,0.2485517,,0.08151941,,0.03581705,,0.0298639,,0.4091943,,0.7563156,,0.2485517,,0.08151941,,0.03581705,,0.272134,,0.002929175,,0.157809,,0.157809,,0.001222457,,0.01238491,,0.01238491,,0.1662942,,0.1662942,,
15,0.009319459,,0.03655129,,0.03655129,,0.01984426,,0.01984426,,1.53789E-12,,0.3733021,,0.752082,,0.2524509,,0.08169904,,0.03607791,,0.02998309,,0.3733021,,0.752082,,0.2524509,,0.08169904,,0.03607791,,0.2723427,,0.002953861,,0.1497026,,0.1497026,,0.001227619,,0.01231232,,0.01231232,,0.1679195,,0.1679195,,
16,0.009377182,,0.03660925,,0.03660925,,0.0199429,,0.0199429,,4.903304E-13,,0.3421736,,0.7399024,,0.2564183,,0.08197328,,0.03625609,,0.03010867,,0.3421736,,0.7399024,,0.2564183,,0.08197328,,0.03625609,,0.272559,,0.002976832,,0.1422088,,0.1422088,,0.001234176,,0.0122538,,0.0122538,,0.1695634,,0.1695634,,
17,0.009432544,,0.03667752,,0.03667752,,0.02003996,,0.02003996,,1.347786E-13,,0.3150881,,0.7214628,,0.2605577,,0.08232985,,0.03635782,,0.03024033,,0.3150881,,0.7214628,,0.2605577,,0.08232985,,0.03635782,,0.2727832,,0.002997537,,0.1352734,,0.1352734,,0.001241741,,0.01220857,,0.01220857,,0.1712278,,0.1712278,,
18,0.00948501,0.004614214,0.03675579,0.00775549,0.03675579,,0.02013547,0.003849032,0.02013547,,3.036151E-14,8.875002E-19,0.2916987,,0.6979333,,0.2649774,,0.08275845,,0.03638813,,0.03037798,,0.2916987,,0.6979333,,0.2649774,,0.08275845,,0.03638813,,0.2730154,0.1321156,0.003014988,0.003140823,0.1288478,0.1374065,0.1288478,,0.00124997,0.001417953,0.01217592,0.07850768,0.01217592,,0.1729145,0.01145617,0.1729145,,
19,0.00953408,,0.03684379,,0.03684379,,0.0202295,,0.0202295,,5.162204E-15,,0.2718554,,0.6701376,,0.2697852,,0.08325034,,0.03635113,,0.03052171,,0.2718554,,0.6701376,,0.2697852,,0.08325034,,0.03635113,,0.2732556,,0.003027792,,0.1228889,,0.1228889,,0.001258545,,0.01215522,,0.01215522,,0.1746245,,0.1746245,,
20,0.009579292,,0.03694128,,0.03694128,,0.02032213,,0.02032213,,5.710074E-16,,0.255492,,0.6386647,,0.2750869,,0.08379795,,0.03625025,,0.03067173,,0.255492,,0.6386647,,0.2750869,,0.08379795,,0.03625025,,0.2735039,,0.003034144,,0.1173584,,0.1173584,,0.001267156,,0.01214586,,0.01214586,,0.1763582,,0.1763582,,
21,0.009620225,,0.03704806,,0.03704806,,0.02041342,,0.02041342,,2.968166E-17,,0.242557,,0.603941,,0.2809857,,0.08439461,,0.03608846,,0.03082833,,0.242557,,0.603941,,0.2809857,,0.08439461,,0.03608846,,0.27376,,0.003031819,,0.112222,,0.112222,,0.001275492,,0.01214734,,0.01214734,,0.1781157,,0.1781157,,
22,0.009656504,,0.03716388,,0.03716388,,0.0205034,,0.0205034,,1E-20,,0.2329752,,0.5662754,,0.2875817,,0.08503431,,0.03586837,,0.03099188,,0.2329752,,0.5662754,,0.2875817,,0.08503431,,0.03586837,,0.2740235,,0.003018153,,0.1074498,,0.1074498,,0.001283239,,0.01215919,,0.01215919,,0.1798967,,0.1798967,,
23,0.009687795,,0.03728851,,0.03728851,,0.02059212,,0.02059212,,1E-20,,0.2266294,,0.5258874,,0.294973,,0.08571159,,0.03559236,,0.03116278,,0.2266294,,0.5258874,,0.294973,,0.08571159,,0.03559236,,0.274294,,0.002990032,,0.1030153,,0.1030153,,0.001290083,,0.01218101,,0.01218101,,0.1817012,,0.1817012,,
24,0.00971381,,0.03742172,,0.03742172,,0.02067958,,0.02067958,,1E-20,,0.2233547,,0.4829254,,0.303256,,0.08642139,,0.03526263,,0.03134146,,0.2233547,,0.4829254,,0.303256,,0.08642139,,0.03526263,,0.2745708,,0.002943872,,0.0988955,,0.0988955,,0.001295711,,0.01221245,,0.01221245,,0.1835293,,0.1835293,,
25,0.009737505,,0.03766044,,0.03766044,,0.0209036,,0.0209036,,1E-20,,0.2237061,,0.4349445,,0.3095459,,0.08676558,,0.03488635,,0.03143,,0.2237061,,0.4349445,,0.3095459,,0.08676558,,0.03488635,,0.2748441,,0.002608231,,0.09472245,,0.09472245,,0.001302094,,0.0123152,,0.0123152,,0.1863512,,0.1863512,,
26,0.009758375,,0.03789949,,0.03789949,,0.0211207,,0.0211207,,1E-20,,0.2236619,,0.3956621,,0.3097143,,0.08714201,,0.03459294,,0.03148705,,0.2236619,,0.3956621,,0.3097143,,0.08714201,,0.03459294,,0.2751229,,0.00234042,,0.09077269,,0.09077269,,0.001309694,,0.01241886,,0.01241886,,0.1889701,,0.1889701,,
27,0.009778986,,0.03813824,,0.03813824,,0.02133346,,0.02133346,,1E-20,,0.2234951,,0.3631726,,0.3054133,,0.08756799,,0.03437003,,0.03151584,,0.2234951,,0.3631726,,0.3054133,,0.08756799,,0.03437003,,0.2754067,,0.002120391,,0.0870384,,0.0870384,,0.001318367,,0.01252433,,0.01252433,,0.1914144,,0.1914144,,
28,0.009800188,,0.03837712,,0.03837712,,0.02154224,,0.02154224,,1E-20,,0.2233983,,0.3361858,,0.2978013,,0.08806866,,0.03420761,,0.03151913,,0.2233983,,0.3361858,,0.2978013,,0.08806866,,0.03420761,,0.2756951,,0.001935025,,0.08350863,,0.08350863,,0.001328044,,0.01263226,,0.01263226,,0.1937034,,0.1937034,,
29,0.009822381,,0.0386166,,0.0386166,,0.02174739,,0.02174739,,1E-20,,0.2234989,,0.3138185,,0.2876907,,0.08867295,,0.03409752,,0.03149905,,0.2234989,,0.3138185,,0.2876907,,0.08867295,,0.03409752,,0.2759876,,0.001776125,,0.0801706,,0.0801706,,0.001338707,,0.01274311,,0.01274311,,0.1958509,,0.1958509,,
30,0.009845856,0.006243469,0.03885698,0.01288052,0.03885698,0.004924542,0.02194928,0.006457771,0.02194928,0.00330955,1E-20,1.95055E-19,0.2238786,,0.2954421,,0.2756596,,0.08941098,,0.03403305,,0.03145725,,0.2238786,,0.2954421,,0.2756596,,0.08941098,,0.03403305,,0.2762839,0.2611919,0.001638949,0.007224056,0.07701081,0.1360892,0.07701081,,0.001350375,0.0007051934,0.01285719,0.02851112,0.01285719,,0.1978678,0.1166783,0.1978678,,
31,0.009870884,,0.03909839,,0.03909839,,0.0221483,,0.0221483,,1E-20,,0.2245901,,0.2805771,,0.2621302,,0.09031267,,0.03400862,,0.03139505,,0.2245901,,0.2805771,,0.2621302,,0.09031267,,0.03400862,,0.2765839,,0.00152113,,0.07401553,,0.07401553,,0.001363086,,0.0129747,,0.0129747,,0.1997632,,0.1997632,,
32,0.009897766,,0.03934081,,0.03934081,,0.02234486,,0.02234486,,1E-20,,0.2256777,,0.2688276,,0.2474194,,0.09140689,,0.03401956,,0.03131351,,0.2256777,,0.2688276,,0.2474194,,0.09140689,,0.03401956,,0.2768874,,0.001421722,,0.07117139,,0.07117139,,0.00137689,,0.01309575,,0.01309575,,0.2015453,,0.2015453,,
33,0.009926816,,0.0395841,,0.0395841,,0.02253938,,0.02253938,,1E-20,,0.2271852,,0.2598427,,0.2317719,,0.09272096,,0.03406186,,0.03121353,,0.2271852,,0.2598427,,0.2317719,,0.09272096,,0.03406186,,0.2771947,,0.00134053,,0.0684657,,0.0684657,,0.001391842,,0.01322033,,0.01322033,,0.2032217,,0.2032217,,
34,0.009958365,,0.03982801,,0.03982801,,0.02273227,,0.02273227,,1E-20,,0.2291601,,0.2532963,,0.2153794,,0.09428053,,0.03413204,,0.03109591,,0.2291601,,0.2532963,,0.2153794,,0.09428053,,0.03413204,,0.2775059,,0.001277612,,0.06588661,,0.06588661,,0.001407995,,0.0133484,,0.0133484,,0.2047995,,0.2047995,,
35,0.009992749,,0.04007226,,0.04007226,,0.02292396,,0.02292396,,1E-20,,0.2316687,,0.2488781,,0.1983944,,0.09610948,,0.03422705,,0.03096136,,0.2316687,,0.2488781,,0.1983944,,0.09610948,,0.03422705,,0.2778212,,0.001232953,,0.06342322,,0.06342322,,0.001425398,,0.01347981,,0.01347981,,0.2062852,,0.2062852,,
36,0.01003031,,0.04031654,,0.04031654,,0.02311489,,0.02311489,,1E-20,,0.2347866,,0.2462927,,0.1809386,,0.09823012,,0.03434412,,0.03081057,,0.2347866,,0.2462927,,0.1809386,,0.09823012,,0.03434412,,0.2781411,,0.001206267,,0.06106563,,0.06106563,,0.001444101,,0.01361441,,0.01361441,,0.2076842,,0.2076842,,
37,0.01006886,,0.04067108,,0.04067108,,0.02309919,,0.02309919,,1E-20,,0.2376249,,0.2444735,,0.1616893,,0.09988773,,0.03439562,,0.03065815,,0.2376249,,0.2444735,,0.1616893,,0.09988773,,0.03439562,,0.2784092,,0.001377361,,0.05900162,,0.05900162,,0.001461601,,0.0134459,,0.0134459,,0.2083397,,0.2083397,,
38,0.01010842,,0.0410216,,0.0410216,,0.02309612,,0.02309612,,1E-20,,0.2406529,,0.2431238,,0.1460825,,0.09977347,,0.03445765,,0.03052457,,0.2406529,,0.2431238,,0.1460825,,0.09977347,,0.03445765,,0.2786827,,0.001555738,,0.05707107,,0.05707107,,0.001478659,,0.01331249,,0.01331249,,0.2091237,,0.2091237,,
39,0.0101491,,0.04136783,,0.04136783,,0.02310083,,0.02310083,,1E-20,,0.2439862,,0.2422157,,0.1333279,,0.09831963,,0.03453637,,0.03040673,,0.2439862,,0.2422157,,0.1333279,,0.09831963,,0.03453637,,0.2789623,,0.001739536,,0.05527195,,0.05527195,,0.001495183,,0.01320893,,0.01320893,,0.2100127,,0.2100127,,
40,0.01019101,,0.04170948,,0.04170948,,0.02311295,,0.02311295,,1E-20,,0.2476863,,0.2417218,,0.1228641,,0.09583645,,0.03464072,,0.03030216,,0.2476863,,0.2417218,,0.1228641,,0.09583645,,0.03464072,,0.2792488,,0.001926391,,0.05360334,,0.05360334,,0.001510938,,0.01313083,,0.01313083,,0.2109878,,0.2109878,,
41,0.01023416,,0.04204617,,0.04204617,,0.02313211,,0.02313211,,1E-20,,0.251755,,0.2416191,,0.1142845,,0.09254778,,0.03478093,,0.03020879,,0.251755,,0.2416191,,0.1142845,,0.09254778,,0.03478093,,0.2795426,,0.00211298,,0.05206535,,0.05206535,,0.001525573,,0.01307449,,0.01307449,,0.2120329,,0.2120329,,
42,0.01027854,0.01445919,0.04237749,0.01325116,0.04237749,0.004022411,0.02315793,0.006451081,0.02315793,0.00218867,1E-20,6.583106E-19,0.256142,,0.2418943,,0.1072831,,0.08861846,,0.03496765,,0.03012486,,0.256142,,0.2418943,,0.1072831,,0.08861846,,0.03496765,,0.279844,0.3364152,0.002294557,0.004344717,0.05065922,0.08002344,0.05065922,,0.001538637,0.00142098,0.01303678,0.03186056,0.01303678,,0.213133,0.1364593,0.213133,,
43,0.01032407,,0.04270298,,0.04270298,,0.02318998,,0.02318998,,1E-20,,0.260711,,0.2425812,,0.1016182,,0.08417318,,0.03521143,,0.0300489,,0.260711,,0.2425812,,0.1016182,,0.08417318,,0.03521143,,0.2801532,,0.002464501,,0.04938734,,0.04938734,,0.001549601,,0.01301504,,0.01301504,,0.214275,,0.214275,,
44,0.01037061,,0.04302212,,0.04302212,,0.0232278,,0.0232278,,1E-20,,0.2652959,,0.2437233,,0.09708891,,0.07930861,,0.03552243,,0.02997966,,0.2652959,,0.2437233,,0.09708891,,0.07930861,,0.03552243,,0.2804698,,0.002613841,,0.04825338,,0.04825338,,0.001557888,,0.01300703,,0.01300703,,0.215447,,0.215447,,
45,0.01041796,,0.04333438,,0.04333438,,0.02327083,,0.02327083,,1E-20,,0.2697134,,0.2453693,,0.09352195,,0.07410108,,0.03591024,,0.02991607,,0.2697134,,0.2453693,,0.09352195,,0.07410108,,0.03591024,,0.2807932,,0.002730882,,0.04726235,,0.04726235,,0.001562896,,0.01301082,,0.01301082,,0.2166388,,0.2166388,,
46,0.0104659,,0.04363916,,0.04363916,,0.0233185,,0.0233185,,1E-20,,0.2737017,,0.2476427,,0.09076403,,0.06861134,,0.03638382,,0.02985721,,0.2737017,,0.2476427,,0.09076403,,0.06861134,,0.03638382,,0.2811224,,0.002801077,,0.04642047,,0.04642047,,0.001564016,,0.01302482,,0.01302482,,0.217842,,0.217842,,
47,0.01051413,,0.04393589,,0.04393589,,0.02337019,,0.02337019,,1E-20,,0.2770274,,0.2506399,,0.08867804,,0.06288773,,0.03695149,,0.0298023,,0.2770274,,0.2506399,,0.08867804,,0.06288773,,0.03695149,,0.2814563,,0.002806643,,0.04573531,,0.04573531,,0.001560656,,0.01304767,,0.01304767,,0.2190503,,0.2190503,,
48,0.01056237,,0.04422398,,0.04422398,,0.02342528,,0.02342528,,1E-20,,0.2794924,,0.2544255,,0.08714207,,0.05696836,,0.03762099,,0.02975063,,0.2794924,,0.2544255,,0.08714207,,0.05696836,,0.03762099,,0.2817933,,0.002726261,,0.04521581,,0.04521581,,0.001552243,,0.01307824,,0.01307824,,0.2202595,,0.2202595,,
49,0.01060438,,0.04456444,,0.04456444,,0.02374371,,0.02374371,,1E-20,,0.281172,,0.2581291,,0.08594322,,0.05047973,,0.03798049,,0.02961823,,0.281172,,0.2581291,,0.08594322,,0.05047973,,0.03798049,,0.2820322,,0.002606739,,0.04610747,,0.04610747,,0.001547274,,0.01324761,,0.01324761,,0.2221313,,0.2221313,,
50,0.01063997,,0.04489515,,0.04489515,,0.0240525,,0.0240525,,1E-20,,0.2818703,,0.2622226,,0.08504752,,0.04515662,,0.03766497,,0.02949368,,0.2818703,,0.2622226,,0.08504752,,0.04515662,,0.03766497,,0.2822756,,0.002494857,,0.04701132,,0.04701132,,0.001544081,,0.01340007,,0.01340007,,0.2238184,,0.2238184,,
51,0.01066954,,0.04521497,,0.04521497,,0.02435854,,0.02435854,,1E-20,,0.2815857,,0.2666313,,0.08440382,,0.04075709,,0.03685132,,0.0293783,,0.2815857,,0.2666313,,0.08440382,,0.04075709,,0.03685132,,0.2825227,,0.002388841,,0.04792216,,0.04792216,,0.001541881,,0.013537,,0.013537,,0.2253389,,0.2253389,,
52,0.01069328,,0.04552319,,0.04552319,,0.02466138,,0.02466138,,1E-20,,0.2803888,,0.2712145,,0.08397157,,0.03710752,,0.03566595,,0.02927496,,0.2803888,,0.2712145,,0.08397157,,0.03710752,,0.03566595,,0.2827727,,0.002287795,,0.04883578,,0.04883578,,0.001540317,,0.01365962,,0.01365962,,0.2267085,,0.2267085,,
53,0.01071149,,0.04581929,,0.04581929,,0.0249607,,0.0249607,,1E-20,,0.2783582,,0.2758308,,0.08372068,,0.03408074,,0.03419972,,0.02918704,,0.2783582,,0.2758308,,0.08372068,,0.03408074,,0.03419972,,0.283025,,0.002191528,,0.04974737,,0.04974737,,0.001539307,,0.01376903,,0.01376903,,0.2279421,,0.2279421,,
54,0.01072449,0.007385152,0.04610292,0.01192742,0.04610292,0.005528406,0.02525629,0.006190263,0.02525629,0.003613541,1E-20,4.632556E-19,0.2756278,,0.2802918,,0.08363145,,0.03158007,,0.03251907,,0.02911817,,0.2756278,,0.2802918,,0.08363145,,0.03158007,,0.03251907,,0.2832792,0.2203035,0.00210045,0.007474558,0.05065177,0.1082622,0.05065177,,0.00153893,0.001210633,0.01386625,0.01445979,0.01386625,,0.2290541,0.1741337,0.2290541,,
55,0.01073263,,0.04637387,,0.04637387,,0.02554803,,0.02554803,,1E-20,,0.2722934,,0.2844438,,0.08370883,,0.02952833,,0.03067375,,0.02907194,,0.2722934,,0.2844438,,0.08370883,,0.02952833,,0.03067375,,0.283535,,0.002015558,,0.05154361,,0.05154361,,0.00153935,,0.01395228,,0.01395228,,0.230059,,0.230059,,
56,0.01073635,,0.04663208,,0.04663208,,0.02583585,,0.02583585,,1E-20,,0.2684523,,0.2881458,,0.08396363,,0.02786101,,0.02870183,,0.0290518,,0.2684523,,0.2881458,,0.08396363,,0.02786101,,0.02870183,,0.2837923,,0.001938405,,0.05241746,,0.05241746,,0.001540763,,0.01402801,,0.01402801,,0.2309707,,0.2309707,,
57,0.0107361,,0.04687756,,0.04687756,,0.02611975,,0.02611975,,1E-20,,0.2641948,,0.2912808,,0.08440963,,0.02652223,,0.02663285,,0.02906104,,0.2641948,,0.2912808,,0.08440963,,0.02652223,,0.02663285,,0.284051,,0.001871074,,0.05326791,,0.05326791,,0.001543364,,0.01409432,,0.01409432,,0.2318025,,0.2318025,,
58,0.01073237,,0.04711043,,0.04711043,,0.02639976,,0.02639976,,1E-20,,0.2596017,,0.2937263,,0.08509318,,0.02546245,,0.02448991,,0.02910265,,0.2596017,,0.2937263,,0.08509318,,0.02546245,,0.02448991,,0.2843111,,0.001816125,,0.05408967,,0.05408967,,0.001547336,,0.01415197,,0.01415197,,0.2325665,,0.2325665,,
59,0.01072567,,0.04733088,,0.04733088,,0.02667594,,0.02667594,,1E-20,,0.2547474,,0.2953938,,0.08604708,,0.02463732,,0.02229105,,0.02917941,,0.2547474,,0.2953938,,0.08604708,,0.02463732,,0.02229105,,0.2845725,,0.00177655,,0.05487762,,0.05487762,,0.00155284,,0.01420161,,0.01420161,,0.2332733,,0.2332733,,
60,0.01071654,,0.04753915,,0.04753915,,0.02694837,,0.02694837,,1E-20,,0.249703,,0.2962246,,0.08728959,,0.02400719,,0.0200502,,0.02929385,,0.249703,,0.2962246,,0.08728959,,0.02400719,,0.0200502,,0.2848352,,0.001755712,,0.05562689,,0.05562689,,0.001560039,,0.01424376,,0.01424376,,0.2339312,,0.2339312,,
61,0.01071411,,0.04776491,,0.04776491,,0.02726171,,0.02726171,,1E-20,,0.2450397,,0.2978837,,0.08902974,,0.02369591,,0.01776462,,0.02940299,,0.2450397,,0.2978837,,0.08902974,,0.02369591,,0.01776462,,0.2841666,,0.001791177,,0.05605679,,0.05605679,,0.001557427,,0.01453959,,0.01453959,,0.2357685,,0.2357685,,
62,0.01071835,,0.04796925,,0.04796925,,0.02757009,,0.02757009,,1E-20,,0.2404273,,0.2983307,,0.09096526,,0.02346367,,0.01588614,,0.02927287,,0.2404273,,0.2983307,,0.09096526,,0.02346367,,0.01588614,,0.2835086,,0.001825979,,0.05648363,,0.05648363,,0.001554391,,0.01480976,,0.01480976,,0.2374629,,0.2374629,,
